I1,I2,N1,N2,N3
0.047966,0.047966,0.33207,0.94478,1.0
0.04805,0.04805,0.38904,0.9628,1.0
0.04805,0.04805,0.44977,0.97605,1.0
0.04805,0.04805,0.51438,0.98659,1.0
0.04805,0.04805,0.58291,0.99294,1.0
0.04805,0.04805,0.65537,0.99513,1.0
0.04805,0.04805,0.71313,0.99381,1.0
0.04805,0.04805,0.7347,0.98923,1.0
0.04805,0.04805,0.73593,0.9808,1.0
0.04805,0.04805,0.73561,0.96779,1.0
0.04805,0.04805,0.73392,0.95947,1.0
0.04805,0.04805,0.73104,0.97192,1.0
0.04805,0.04805,0.72719,0.97273,1.0
0.04805,0.04805,0.72257,0.92435,1.0
